0	Index      	 *	Score 	Summary	Detail	
1	32413 32516	 * 	209.34	DCR|4VULN|1MDPS|3CDMG|1DUR	17MSLFST|2357VULN|467CDMG|7BPWR|8DUR|9RCR|aMDPS
314	22632 61116	 * 	179.57	DCR|1MDPS|3ZMB|1VULN|2CDMG|1ASPD	179ZMB|2LIT|39AME|4VULN|5ASPD|6RCR|89CDMG|9BPWR|aMDPS
315	31113 22315	   	179.49	DCR|2VULN|1AART|1ASPD|1CDMG	1MSLFST|236DUST|4CDMG|5aVULN|7AART|8RCR|9ASPD
316	31125 42315	   	179.49	DCR|2VULN|1AART|1ASPD|1CDMG	1MSLFST|235DUST|4aVULN|6CDMG|7AART|8RCR|9ASPD
317	32135 42315	   	179.49	DCR|2VULN|1AART|1ASPD|1CDMG	1MSLFST|2aVULN|345DUST|6CDMG|7AART|8RCR|9ASPD
318	32525 41332	 * 	179.48	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG	1MSLFST|24VULN|3MDPS|5DUST|6ASPD|7RCR|8DMG|9RCVC|aCDMG
319	23341 33535	   	179.47	DCR|1MDPS|1VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	1ZMB|2MDPS|3VULN|4ASPD|5aDUR|6DMG|7CDMG|8RCR|9DUST
320	15243 43311	   	179.47	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LIT|2TLV|3LWND|4AART|5VULN|6RMIN|7DMG|8RCR|9CDMG|aASPD
321	15243 63311	   	179.47	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1LIT|2TLV|3LWND|4AART|5VULN|6CGEN|7DMG|8RCR|9CDMG|aASPD
322	16422 22311	   	179.47	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1LIT|25BEXP|3DMG|4DUST|6VULN|7AART|8RCR|9CDMG|aASPD
323	32525 41321	   	179.46	DCR|3VULN|1MDPS|1ASPD|1DMG	1MSLFST|24aVULN|3MDPS|5DUST|6ASPD|7RCR|8DMG|9LIT
324	32216 13624	   	179.46	DCR|3VULN|1ASPD|1DMG	1MSLFST|258VULN|3ASPD|4ERES|6MLV|7RCR|9DLOT|aDMG
325	32226 13624	   	179.46	DCR|3VULN|1ASPD|1DMG	1MSLFST|258VULN|3ASPD|4TLV|6MLV|7RCR|9DLOT|aDMG
326	12221 36342	   	179.40	DCR|2DMG|1VULN|1CDMG|2DUR|1ZMB	1aLIT|23RPLT|4VULN|5aDMG|6ZMB|7RCR|8CDMG|9aDUR|aBPWR
327	32232 16623	   	179.38	DCR|3VULN|1ASPD|2DUR|1ZMB	1MSLFST|246VULN|3ASPD|5AIRARM|7ZMB|8aDUR|9RCR
328	16423 22351	   	179.37	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1LIT|2BEXP|3DMG|4DUST|5ASPD|6VULN|7AART|8RCVC|9RCR|aCDMG
329	11112 21136	   	179.36	DCR|1AART|1VULN|1ASPD|1CDMG|2ZMB|1DUR	1LIT|27ZMB|3DUR|4CGEN|5ASPD|6VULN|8CDMG|9RCR|aAART
330	11161 53136	   	179.36	DCR|1AART|1VULN|1DMG|1CDMG|2ZMB|1DUR	1LIT|28ZMB|3DUR|4VULN|5CGEN|6CDMG|7DMG|9RCR|aAART
331	22112 21136	   	179.36	DCR|1AART|1VULN|1ASPD|1CDMG|2ZMB|1DUR	17ZMB|2LIT|3DUR|4CGEN|5ASPD|6VULN|8CDMG|9RCR|aAART
332	22161 53136	   	179.36	DCR|1AART|1VULN|1DMG|1CDMG|2ZMB|1DUR	18ZMB|2LIT|3DUR|4VULN|5CGEN|6CDMG|7DMG|9RCR|aAART
333	11112 35154	   	179.36	DCR|2ASPD|1AART|1VULN|2DUR|1ZMB	1LIT|2ZMB|3aDUR|4CGEN|58ASPD|6AART|7VULN|9RCR
334	22112 35154	   	179.36	DCR|2ASPD|1AART|1VULN|2DUR|1ZMB	1ZMB|2LIT|3aDUR|4CGEN|58ASPD|6AART|7VULN|9RCR
