0	Index      	 *	Score 	Summary	Detail	
1	52216 33262	 * 	211.25	DCR|3VULN|3DMG|1AART|2DUR	149DMG|2AART|34DUR|4BPWR|57aVULN|6RCR|8BEXP
327	52216 34213	   	182.95	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	14DMG|2AART|34DUR|4BPWR|5VULN|6RCR|7LWND|8ASPD|9LHND|aCDMG
328	52213 32223	   	182.95	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	14DMG|2AART|34DUR|4BPWR|5LHND|6RCR|7BEXP|8ASPD|9VULN|aCDMG
329	52213 33223	   	182.95	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	14DMG|2AART|34DUR|4BPWR|5LHND|6RCR|7VULN|8ASPD|9LWND|aCDMG
330	52236 33131	   	182.80	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9BELT|aRCVC
331	22123 31551	   	182.74	ACR|3DMG|2VULN|1CDMG|1ZMB	13LIT|2RCR|459DMG|6aVULN|7CDMG|8ZMB
332	22121 32142	   	182.59	ACR|3VULN|2DMG|1AART	135LIT|2RCR|49DMG|679VULN|8AART|9BPWR|aBEXP
333	22121 32143	   	182.59	ACR|3VULN|2DMG|1AART	135LIT|2RCR|49DMG|679VULN|8AART|9BPWR|aRPLT
334	22121 32145	   	182.49	ACR|3VULN|2DMG|1AART	135LIT|2RCR|49DMG|679VULN|8AART|9BPWR|aDUST
335	52231 13335	   	182.45	DCR|3DMG|1AART|1VULN|2DUR|1ASPD	149DMG|2AART|39DUR|5MLV|6VULN|7RCR|89LSRREG|9BPWR|aASPD
336	52214 13334	   	182.21	DCR|2AART|2DMG|1VULN|2DUR|1ZMB	14DMG|2aAART|34DUR|4BPWR|5ZMB|6VULN|7RCR|8AIRHEL|9LSRREG
337	22123 52155	   	181.95	ACR|3DMG|1AART|1VULN|1CDMG	13LIT|2RCR|459DMG|6AART|7RCVC|8CDMG|aVULN
338	54262 22233	   	181.91	DCR|3VULN|3DMG|1CDMG|1DUR	126DMG|26BPWR|3DUR|4TLV|568VULN|7BEXP|9CDMG|aRCR
339	52216 32631	   	181.85	DCR|2VULN|2DMG|1AART|2DUR	14DMG|2AART|34DUR|4BPWR|5aVULN|6RCR|7BEXP|8RCVC|9LIT
340	54632 23233	   	181.81	DCR|3VULN|3DMG|1CDMG|1DUR	126DMG|26BPWR|3DUST|4TLV|568VULN|7DUR|9CDMG|aRCR
341	52216 31631	   	181.75	DCR|2VULN|2DMG|1AART|2DUR	14DMG|2AART|34DUR|4BPWR|5aVULN|6RCR|7DUST|8RCVC|9LIT
342	34243 33243	   	181.67	DCR|3VULN|2DMG|1AART	12aFEWX|37aVULN|4CGEN|5AART|6RCR|8BEXP|9aDMG|aBPWR
343	52214 13125	   	181.65	DCR|2DMG|1AART|1VULN|2ZMB|2DUR|1ASPD	14DMG|2AART|34DUR|4BPWR|59ZMB|6VULN|7RCR|8TLV|aASPD
344	52236 32413	   	181.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	14DMG|2AART|3DUR|5VULN|6RCR|7BEXP|8ZMB|9LHND|aCDMG
345	52233 32423	   	181.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	14DMG|2AART|3DUR|5LHND|6RCR|7BEXP|8ZMB|9VULN|aCDMG
346	52233 33423	   	181.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	14DMG|2AART|3DUR|5LHND|6RCR|7VULN|8ZMB|9LWND|aCDMG
347	52612 32423	   	181.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	14DMG|2AART|3LEGI|4BPWR|5DUR|6RCR|7BEXP|8ZMB|9VULN|aCDMG
348	52612 33413	   	181.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	14DMG|2AART|3LEGI|4BPWR|5DUR|6RCR|7VULN|8ZMB|9LHND|aCDMG
349	52632 32423	   	181.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	14DMG|2AART|3LEGI|5DUR|6RCR|7BEXP|8ZMB|9VULN|aCDMG
350	52632 33413	   	181.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	14DMG|2AART|3LEGI|5DUR|6RCR|7VULN|8ZMB|9LHND|aCDMG
351	52236 33121	   	181.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9LHND|aCGEN
352	52236 33122	   	181.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9LHND|aMLV
353	52236 33123	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9LHND|aFEWX
354	52236 33125	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9LHND|aDMSP
355	52236 33126	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9LHND|aLIT
356	52236 33132	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9BELT|aBEXP
357	52236 33133	   	181.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9BELT|aLWND
358	52236 33134	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9BELT|aLHND
359	52236 33142	   	181.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9LIT|aLWND
360	52236 33232	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8BEXP|9LIT|aASPD
361	52236 33432	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8LHND|9LIT|aASPD
362	52236 33532	   	181.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|57VULN|6RCR|8LWND|9LIT|aASPD
363	52236 32221	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|59VULN|6RCR|7BEXP|8ASPD|aCGEN
364	52236 32222	   	181.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|59VULN|6RCR|7BEXP|8ASPD|aMLV
365	52236 32223	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|59VULN|6RCR|7BEXP|8ASPD|aBELT
366	52236 32226	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|59VULN|6RCR|7BEXP|8ASPD|aFEWX
367	52236 34221	   	181.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|59VULN|6RCR|7LWND|8ASPD|aCGEN
368	52236 34222	   	181.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|59VULN|6RCR|7LWND|8ASPD|aMLV
369	52236 34223	   	181.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|59VULN|6RCR|7LWND|8ASPD|aFEWX
370	52233 32331	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|5LHND|6RCR|7BEXP|89VULN|aASPD
371	52233 33531	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|5LHND|6RCR|79VULN|8BEXP|aASPD
372	52233 34331	   	181.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|5LHND|6RCR|7LWND|89VULN|aASPD
373	52236 31531	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|59VULN|6RCR|7DUST|8FEWX|aASPD
374	52236 33111	   	181.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9ERES|aRPLT
375	52236 33113	   	181.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9ERES|aLWND
376	52236 33143	   	181.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9LIT|aTLV
377	52236 33314	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8DMSP|9TLV|aASPD
378	52236 33334	   	181.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|57VULN|6RCR|8DMSP|9ERES|aASPD
379	52233 31222	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|5LHND|6RCR|7DUST|8ASPD|9aVULN
380	52233 33252	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|5LHND|6RCR|7aVULN|8ASPD|9DUST
381	52236 31212	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|5aVULN|6RCR|7DUST|8ASPD|9LHND
382	52236 31221	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|59VULN|6RCR|7DUST|8ASPD|aCGEN
383	52236 31222	   	181.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|59VULN|6RCR|7DUST|8ASPD|aMLV
384	52236 31223	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|59VULN|6RCR|7DUST|8ASPD|aBELT
385	52236 31226	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|59VULN|6RCR|7DUST|8ASPD|aFEWX
386	52236 32225	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|59VULN|6RCR|7BEXP|8ASPD|aLEGI
387	52236 32252	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|5aVULN|6RCR|7BEXP|8ASPD|9DUST
388	52612 33221	   	181.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3LEGI|4BPWR|5DUR|6RCR|79VULN|8ASPD|aCGEN
389	52612 33222	   	181.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3LEGI|4BPWR|5DUR|6RCR|79VULN|8ASPD|aMLV
390	52612 33223	   	181.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3LEGI|4BPWR|5DUR|6RCR|79VULN|8ASPD|aFEWX
391	52612 33225	   	181.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3LEGI|4BPWR|5DUR|6RCR|79VULN|8ASPD|aDMSP
392	52612 33226	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3LEGI|4BPWR|5DUR|6RCR|79VULN|8ASPD|aLIT
393	52632 33221	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3LEGI|5DUR|6RCR|79VULN|8ASPD|aCGEN
394	52632 33222	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3LEGI|5DUR|6RCR|79VULN|8ASPD|aMLV
395	52632 33223	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3LEGI|5DUR|6RCR|79VULN|8ASPD|aFEWX
396	52632 33225	   	181.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3LEGI|5DUR|6RCR|79VULN|8ASPD|aDMSP
397	52632 33226	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3LEGI|5DUR|6RCR|79VULN|8ASPD|aLIT
398	52233 31331	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|5LHND|6RCR|7DUST|89VULN|aASPD
399	61311 14531	   	181.36	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3CDMG|4aDMG|5LWND|6AART|7VULN|8RCR|9ASPD
400	61313 14531	   	181.36	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3CDMG|4aDMG|5FEWX|6AART|7VULN|8RCR|9ASPD
401	52236 33112	   	181.29	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9aERES
402	52236 31225	   	181.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|59VULN|6RCR|7DUST|8ASPD|aLEGI
403	52612 31222	   	181.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3LEGI|4BPWR|5DUR|6RCR|7DUST|8ASPD|9aVULN
404	52612 33252	   	181.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3LEGI|4BPWR|5DUR|6RCR|7aVULN|8ASPD|9DUST
405	52632 31222	   	181.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3LEGI|5DUR|6RCR|7DUST|8ASPD|9aVULN
406	52632 33252	   	181.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3LEGI|5DUR|6RCR|7aVULN|8ASPD|9DUST
407	52612 31331	   	181.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3LEGI|4BPWR|5DUR|6RCR|7DUST|89VULN|aASPD
408	52632 31331	   	181.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3LEGI|5DUR|6RCR|7DUST|89VULN|aASPD
