0	Index      	 *	Score 	Summary	Detail	
1	25533 52332	 * 	208.93	ACR|3DMG|2VULN|3ZMB|3ASPD	1RCR|27aASPD|3LEGI|4VENICY|57aDMG|678ZMB|7aBPWR|9aVULN
327	26124 11351	   	179.65	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2DMG|3CDMG|469VULN|5LWND|7BEXP|8TLV|aAART
328	26126 11251	   	179.65	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2DMG|3CDMG|469VULN|5LEGI|7BEXP|8RMIN|aAART
329	26126 23613	   	179.65	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2DMG|3CDMG|479VULN|5LEGI|6RPLT|8RMIN|aAART
330	26143 11351	   	179.65	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2DMG|3CDMG|4BEXP|5LHND|679VULN|8TLV|aAART
331	26162 11251	   	179.65	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2DMG|3CDMG|4LHND|5DUST|679VULN|8RMIN|aAART
332	22215 43512	   	179.55	ACR|3VULN|1AART|1DMG|1FLTHEA	1RCR|2LIT|3MBVNT|457VULN|6DMG|8FLTHEA|9DUST|aAART
333	26122 12165	   	179.55	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2DMG|3CDMG|468VULN|5DUST|7LSRHEA|9RCVC|aAART
334	26126 11351	   	179.55	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2DMG|3CDMG|469VULN|5LEGI|7BEXP|8TLV|aAART
335	26162 11351	   	179.55	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2DMG|3CDMG|4LHND|5DUST|679VULN|8TLV|aAART
336	22633 35353	 * 	179.54	ACR|3DMG|1AART|3DUR|1FLTHEA	1RCR|238LIT|38BPWR|4AART|5FLTHEA|689DMG|78aDUR
337	26116 43122	   	179.43	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	1RCR|29DMG|3CDMG|49LIT|5AART|6VENICY|7CGEN|89DUR|9BPWR|aVULN
338	26116 62212	   	179.33	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	1RCR|26DMG|3CDMG|4LIT|5AART|7VULN|8RMIN|9aDUR
339	53231 32211	   	179.30	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	16DMG|2ASPD|3CDMG|46VULN|5AART|6BPWR|78CGEN|9RCR|aLWND
340	53231 32212	   	179.30	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	16DMG|2ASPD|3CDMG|46VULN|5AART|6BPWR|78CGEN|9RCR|aBEXP
341	53231 32213	   	179.30	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	16DMG|2ASPD|3CDMG|46VULN|5AART|6BPWR|78CGEN|9RCR|aRCVC
342	53231 32214	   	179.30	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	16DMG|2ASPD|3CDMG|46VULN|5AART|6BPWR|78CGEN|9RCR|aLHND
343	26351 22522	 * 	179.24	ACR|2DMG|2AART|2FLTHEA|3DUR	1RCR|27DMG|34FEWX|57FLTHEA|67aDUR|7BPWR|89AART
344	22633 12412	   	179.22	ACR|2VULN|1AART|1CDMG|1FLTHEA|1ZMB|1ASPD	1RCR|23LIT|3BPWR|4AART|5FLTHEA|67VULN|8CDMG|9ASPD|aZMB
345	53231 32216	   	179.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	16DMG|2ASPD|3CDMG|46VULN|5AART|6BPWR|78CGEN|9RCR|aERES
346	26351 23531	   	179.17	ACR|2DMG|1AART|1VULN|1FLTHEA|1DUR|1ASPD	1RCR|27DMG|34FEWX|5FLTHEA|6DUR|8AART|9VULN|aASPD
347	33244 25223	   	179.12	ACR|4VULN|2DMG|1DUR	1BELT|2RCR|3DUR|46DMG|589aVULN|7LHND
348	26346 21123	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|26DMG|3FEWX|48BEXP|5ZMB|79VULN|aAART
349	26346 21213	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|26DMG|3FEWX|4BEXP|5ZMB|79VULN|8RMIN|aAART
350	22622 33514	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|237LIT|3BPWR|49VULN|5ZMB|68DMG|aAART
351	26253 21213	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|26DMG|3BEXP|4LWND|5RMIN|79VULN|8ZMB|aAART
352	26342 22263	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|29DMG|3FEWX|4BEXP|56VULN|7MLV|8ZMB|aAART
353	26343 21213	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|26DMG|3FEWX|4BEXP|5RMIN|79VULN|8ZMB|aAART
354	26116 63213	   	178.94	ACR|3DMG|1AART|3DUR|1CDMG	1RCR|26aDMG|3CDMG|4aLIT|5AART|79aDUR|8RMIN|aBPWR
355	26342 21263	   	178.94	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|29DMG|3FEWX|4BEXP|56VULN|7ERES|8ZMB|aAART
356	26342 41213	   	178.94	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|27DMG|3FEWX|4BEXP|59VULN|6ERES|8ZMB|aAART
357	26543 21213	   	178.94	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|26DMG|3LEGI|4BEXP|5RMIN|79VULN|8ZMB|aAART
358	26563 22213	   	178.94	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|26DMG|3LEGI|49VULN|5RMIN|7BEXP|8ZMB|aAART
