0	Index      	 *	Score 	Summary	Detail	
1	34123 34316	 * 	200.62	DCR|4VULN|3DMG|1AART	19FEWX|2569VULN|389DMG|4BELT|7AART|9BPWR|aRCR
320	63114 11715	   	170.87	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1MBVNT|2AART|3VULN|4DMG|5DMSP|6RCR|7ASPD|8CDMG|9ZMB|aDUR
321	63626 32234	   	170.83	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1MBVNT|2AART|3RCR|4DUST|5aDMG|6DUR|7VULN|8FEWX|9CDMG
322	63633 14462	   	170.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2AART|3RCR|4DUR|58VULN|6DUST|7CDMG|9DMG|aFEWX
323	63633 14463	   	170.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2AART|3RCR|4DUR|58VULN|6DUST|7CDMG|9DMG|aLIT
324	63633 14464	   	170.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2AART|3RCR|4DUR|58VULN|6DUST|7CDMG|9DMG|aBEXP
325	63633 17434	   	170.83	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1MBVNT|2AART|3RCR|4DUR|5VULN|6DUST|7BEXP|8aDMG|9CDMG
326	63633 42461	   	170.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2AART|3RCR|4DUR|58VULN|6CDMG|7FEWX|9DMG|aSNIHEL
327	63633 42464	   	170.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2AART|3RCR|4DUR|58VULN|6CDMG|7FEWX|9DMG|aERES
328	63633 44461	   	170.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2AART|3RCR|4DUR|58VULN|6CDMG|7LHND|9DMG|aSNIHEL
329	63634 16434	   	170.83	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1MBVNT|2AART|3RCR|4DUR|5FEWX|6DUST|7VULN|8aDMG|9CDMG
330	63641 62142	   	170.83	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MBVNT|2AART|3RCR|4CANHEL|5CDMG|6RMIN|7DMG|8aVULN|9ASPD
331	63641 74242	   	170.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2AART|3RCR|4CANHEL|5CDMG|6DUR|7LWND|8DMG|9aVULN
332	63634 44461	   	170.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2AART|3RCR|4DUR|5FEWX|6CDMG|78VULN|9DMG|aSNIHEL
333	63634 44464	   	170.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2AART|3RCR|4DUR|5FEWX|6CDMG|78VULN|9DMG|aERES
334	63674 43332	   	170.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2AART|3RCR|4DMG|5DMSP|6CDMG|7DUR|8aVULN|9LSRHEA
335	24321 62633	   	170.81	DCR|3VULN|2DMG|1CDMG|1DUR|1SELL	1MLV|2aDMG|349VULN|5SELL|6DUR|7CDMG|8RCR
336	24331 62633	   	170.81	DCR|3DMG|2VULN|1CDMG|1DUR|1SELL	1MLV|24aDMG|39VULN|5SELL|6DUR|7CDMG|8RCR
337	14423 36232	   	170.77	DCR|4VULN|2DMG|1ZMB	19DUST|2569VULN|3ZMB|4BELT|7LHND|89DMG|9BPWR|aRCR
338	63233 14762	 * 	170.74	DCR|3VULN|1AART|1DMG|2ZMB	1MBVNT|2AART|358TLV|478VULN|68ZMB|8BPWR|9DMG|aRCR
339	63633 14461	   	170.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2AART|3RCR|4DUR|58VULN|6DUST|7CDMG|9DMG|aSNIHEL
340	61154 16241	   	170.72	DCR|3DMG|1AART|1VULN|1DUR	1MBVNT|2LHND|347DMG|5AART|6RCR|8FEWX|9DUR|aVULN
341	63633 43111	   	170.66	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1MBVNT|2AART|3RCR|4DUR|5VULN|68CDMG|7RCVC|9ZMB|aDMG
